# Program:featureCounts v2.0.6; Command:"featureCounts" "-Q" "20" "-s" "2" "-p" "-a" "/storage/projects/QUO1015788/ref/REF_cds.gtf" "-T" "5" "-F" "SAF" "-o" "/storage/projects/QUO1015788/2630_A/2630_A_cds" "/storage/projects/QUO1015788/2630_A/2630_A.sam" 
Geneid	Chr	Start	End	Strand	Length	/storage/projects/QUO1015788/2630_A/2630_A.sam
PFLU_3145	OV986001.1	3437851	3438226	-	376	67
PFLU_3146	OV986001.1	3438269	3439703	-	1435	777
PFLU_3147	OV986001.1	3440068	3441172	-	1105	12
PFLU_3148	OV986001.1	3441181	3442546	-	1366	16
PFLU_3149	OV986001.1	3442745	3443531	+	787	75
PFLU_3150	OV986001.1	3443831	3444911	-	1081	61
PFLU_3151	OV986001.1	3444971	3445313	-	343	6
PFLU_3152	OV986001.1	3445339	3446746	-	1408	26
PFLU_3153	OV986001.1	3446795	3447605	-	811	93
PFLU_3154	OV986001.1	3447866	3448139	+	274	1039
PFLU_3155	OV986001.1	3448215	3450663	-	2449	1044
PFLU_3156	OV986001.1	3450882	3451578	+	697	29
PFLU_3157	OV986001.1	3451725	3453372	-	1648	1875
PFLU_3158	OV986001.1	3453478	3454885	-	1408	51
PFLU_3159	OV986001.1	3454881	3456306	-	1426	44
PFLU_3160	OV986001.1	3457009	3458032	-	1024	1965
PFLU_3161	OV986001.1	3458279	3459194	+	916	307
PFLU_3162	OV986001.1	3459675	3459882	+	208	20
PFLU_3163	OV986001.1	3459998	3460271	-	274	38
PFLU_3165	OV986001.1	3460514	3461204	+	691	44
PFLU_3166	OV986001.1	3461214	3461598	+	385	168
PFLU_3167	OV986001.1	3461654	3462041	+	388	88
PFLU_3168	OV986001.1	3462085	3462535	+	451	65
PFLU_3169	OV986001.1	3462591	3463170	+	580	134
PFLU_3170	OV986001.1	3463166	3463346	-	181	20
PFLU_3171	OV986001.1	3463477	3464221	-	745	61
PFLU_3172	OV986001.1	3464289	3465393	-	1105	39
PFLU_3173	OV986001.1	3465444	3466026	-	583	38
PFLU_3174	OV986001.1	3466132	3466426	+	295	21
PFLU_3175	OV986001.1	3466538	3467210	+	673	209
PFLU_3176	OV986001.1	3467243	3468446	-	1204	604
PFLU_3177	OV986001.1	3468741	3469413	+	673	347
PFLU_3178	OV986001.1	3469409	3470075	+	667	321
PFLU_3179	OV986001.1	3470071	3470686	-	616	678
PFLU_3179A	OV986001.1	3470807	3471683	+	877	130
PFLU_3181	OV986001.1	3471755	3472214	-	460	18
PFLU_3182	OV986001.1	3472424	3473444	-	1021	83
PFLU_3183	OV986001.1	3473513	3473897	-	385	54
PFLU_3184	OV986001.1	3473965	3475006	-	1042	84
PFLU_3185	OV986001.1	3475118	3475508	+	391	185
PFLU_3186	OV986001.1	3475664	3477395	-	1732	26
PFLU_3187	OV986001.1	3477578	3478838	-	1261	100
PFLU_3188	OV986001.1	3478950	3479376	-	427	46
PFLU_3190	OV986001.1	3480314	3481064	-	751	89
PFLU_3191	OV986001.1	3481070	3493412	-	12343	158
PFLU_3192	OV986001.1	3493445	3495167	-	1723	16
PFLU_3193	OV986001.1	3495725	3498404	-	2680	189
PFLU_3194	OV986001.1	3498479	3499205	-	727	117
PFLU_3195	OV986001.1	3499234	3500680	-	1447	335
PFLU_3196	OV986001.1	3500676	3501546	-	871	100
PFLU_3197	OV986001.1	3501533	3501965	-	433	50
PFLU_3198	OV986001.1	3502011	3503841	-	1831	354
PFLU_3199	OV986001.1	3503871	3505092	-	1222	270
PFLU_3200	OV986001.1	3505088	3505322	-	235	24
PFLU_3201	OV986001.1	3505365	3506394	-	1030	206
PFLU_3202	OV986001.1	3506450	3507347	-	898	73
PFLU_3203	OV986001.1	3507497	3508079	+	583	29
PFLU_3204	OV986001.1	3508355	3509291	-	937	37
PFLU_3205	OV986001.1	3509385	3509817	+	433	30
PFLU_3206	OV986001.1	3509859	3510918	+	1060	100
PFLU_3207	OV986001.1	3510998	3511868	+	871	65
PFLU_3208	OV986001.1	3512048	3513566	+	1519	373
PFLU_3209	OV986001.1	3513642	3514236	+	595	122
PFLU_3210	OV986001.1	3514299	3514962	+	664	210
PFLU_3211	OV986001.1	3514958	3516215	+	1258	245
PFLU_3212	OV986001.1	3516233	3517526	+	1294	251
PFLU_3213	OV986001.1	3517553	3519236	+	1684	87
PFLU_3214	OV986001.1	3519232	3519823	+	592	16
PFLU_3215	OV986001.1	3519857	3522968	-	3112	63
PFLU_3216	OV986001.1	3522969	3524109	-	1141	213
PFLU_3217	OV986001.1	3524173	3525658	-	1486	52
PFLU_3218	OV986001.1	3525706	3527767	-	2062	233
PFLU_3219	OV986001.1	3528014	3529001	+	988	23
PFLU_3220	OV986001.1	3529009	3532381	+	3373	82
PFLU_3221	OV986001.1	3532377	3533445	+	1069	24
PFLU_3222	OV986001.1	3533479	3536491	+	3013	69
PFLU_3223	OV986001.1	3536537	3550448	+	13912	273
PFLU_3224	OV986001.1	3550487	3560567	+	10081	182
PFLU_3225	OV986001.1	3560563	3564310	+	3748	83
PFLU_3226	OV986001.1	3564310	3565942	+	1633	118
PFLU_3227	OV986001.1	3565932	3566616	-	685	277
PFLU_3228	OV986001.1	3566815	3568519	+	1705	281
PFLU_3229	OV986001.1	3569530	3570673	+	1144	1105
PFLU_3230	OV986001.1	3570738	3571947	-	1210	64
PFLU_3231	OV986001.1	3571946	3573365	-	1420	140
PFLU_3232	OV986001.1	3573361	3575728	-	2368	571
PFLU_3233	OV986001.1	3575724	3576312	-	589	42
PFLU_3234	OV986001.1	3576262	3577429	-	1168	260
PFLU_3235	OV986001.1	3577431	3578397	-	967	334
PFLU_3236	OV986001.1	3578405	3578855	-	451	99
PFLU_3237	OV986001.1	3579001	3579388	+	388	75
PFLU_3238	OV986001.1	3579394	3579826	-	433	61
PFLU_3239	OV986001.1	3579907	3580369	+	463	78
PFLU_3240	OV986001.1	3580365	3580977	+	613	24
PFLU_3241	OV986001.1	3581367	3581766	-	400	197
PFLU_3242	OV986001.1	3581781	3582582	-	802	492
PFLU_3242A	OV986001.1	3582761	3583019	-	259	313
PFLU_3243	OV986001.1	3583369	3583954	-	586	115
PFLU_3244	OV986001.1	3583950	3584211	-	262	286
PFLU_3245	OV986001.1	3584394	3584826	-	433	243
PFLU_3246	OV986001.1	3584825	3597002	-	12178	386
PFLU_3247	OV986001.1	3597035	3598757	-	1723	4
PFLU_3248	OV986001.1	3599317	3599617	+	301	99
PFLU_3249	OV986001.1	3599598	3601101	+	1504	547
PFLU_3250	OV986001.1	3601100	3602336	+	1237	252
PFLU_3251	OV986001.1	3602332	3602938	+	607	220
PFLU_3252	OV986001.1	3603172	3603457	+	286	131
PFLU_3253	OV986001.1	3603619	3604564	+	946	296
PFLU_3254	OV986001.1	3604645	3604756	+	112	66
PFLU_3255	OV986001.1	3604903	3606034	+	1132	106
PFLU_3256	OV986001.1	3606049	3607216	-	1168	282
PFLU_3257	OV986001.1	3607290	3608061	+	772	118
PFLU_3258	OV986001.1	3608214	3610032	-	1819	124
PFLU_3259	OV986001.1	3610166	3610568	-	403	18
PFLU_3260	OV986001.1	3610625	3611507	-	883	120
PFLU_3261	OV986001.1	3611619	3612534	+	916	25
PFLU_3262	OV986001.1	3612513	3613986	-	1474	19
PFLU_3263	OV986001.1	3613994	3615227	-	1234	7
PFLU_3264	OV986001.1	3615237	3616170	-	934	25
PFLU_3265	OV986001.1	3616238	3617231	-	994	83
PFLU_3267	OV986001.1	3617399	3617834	-	436	72
PFLU_3268	OV986001.1	3618006	3618912	-	907	165
PFLU_3269	OV986001.1	3619091	3619760	+	670	404
PFLU_3270	OV986001.1	3619756	3620527	+	772	634
PFLU_3271	OV986001.1	3620532	3621993	+	1462	907
PFLU_3272	OV986001.1	3622043	3622901	+	859	449
PFLU_3273	OV986001.1	3622946	3623339	+	394	39
PFLU_3274	OV986001.1	3623389	3624694	+	1306	116
PFLU_3275	OV986001.1	3624707	3625511	+	805	90
PFLU_3276	OV986001.1	3625525	3626329	+	805	45
PFLU_3277	OV986001.1	3626757	3627180	-	424	88
PFLU_3278	OV986001.1	3627417	3628716	+	1300	54
PFLU_3279	OV986001.1	3628747	3629113	+	367	22
PFLU_3280	OV986001.1	3629170	3629830	+	661	57
PFLU_3281	OV986001.1	3629876	3630737	+	862	10
PFLU_3282	OV986001.1	3630729	3631530	+	802	8
PFLU_3283	OV986001.1	3631555	3632293	+	739	8
PFLU_3284	OV986001.1	3632915	3633500	-	586	22
PFLU_3285	OV986001.1	3633514	3634477	-	964	4018
PFLU_3286	OV986001.1	3634593	3635214	-	622	42
PFLU_3287	OV986001.1	3635158	3636658	-	1501	32
PFLU_3288	OV986001.1	3636960	3638289	+	1330	14
PFLU_3289	OV986001.1	3638717	3639647	-	931	149
PFLU_3290	OV986001.1	3639704	3640874	-	1171	565
PFLU_3291	OV986001.1	3641136	3642624	+	1489	161
PFLU_3292	OV986001.1	3643045	3644089	-	1045	18
PFLU_3293	OV986001.1	3644325	3645387	+	1063	20
PFLU_3294	OV986001.1	3645416	3646367	+	952	24
PFLU_3295	OV986001.1	3646373	3647087	-	715	312
PFLU_3296	OV986001.1	3647162	3648911	-	1750	10
PFLU_3297	OV986001.1	3648941	3650183	-	1243	17
PFLU_3298	OV986001.1	3650179	3651949	-	1771	34
PFLU_3299	OV986001.1	3652117	3653566	-	1450	61
PFLU_3300	OV986001.1	3653642	3654473	-	832	205
PFLU_3301	OV986001.1	3654685	3655174	+	490	52
PFLU_3302	OV986001.1	3655179	3656505	-	1327	18
PFLU_3303	OV986001.1	3656813	3658022	+	1210	27
PFLU_3304	OV986001.1	3657999	3658947	-	949	13
PFLU_3305	OV986001.1	3659028	3659796	-	769	28
PFLU_3306	OV986001.1	3659885	3661361	-	1477	5
PFLU_3307	OV986001.1	3661630	3663391	+	1762	79
PFLU_3308	OV986001.1	3663489	3664101	+	613	413
PFLU_3309	OV986001.1	3664294	3665398	-	1105	35
PFLU_3310	OV986001.1	3665438	3666842	-	1405	12
PFLU_3311	OV986001.1	3666891	3668130	-	1240	63
PFLU_3312	OV986001.1	3668395	3669001	+	607	105
PFLU_3313	OV986001.1	3669061	3669652	-	592	354
PFLU_3314	OV986001.1	3669651	3670374	-	724	402
PFLU_3315	OV986001.1	3670381	3671200	-	820	43
PFLU_3316	OV986001.1	3671219	3672113	-	895	36
PFLU_3317	OV986001.1	3672109	3673078	-	970	12
PFLU_3318	OV986001.1	3673151	3674180	-	1030	28
PFLU_3319	OV986001.1	3674364	3675282	+	919	15
PFLU_3320	OV986001.1	3675411	3675903	+	493	3
PFLU_3321	OV986001.1	3675918	3677982	-	2065	325
PFLU_3322	OV986001.1	3678236	3679001	-	766	129
PFLU_3323	OV986001.1	3679188	3680814	+	1627	7
PFLU_3324	OV986001.1	3680828	3681755	+	928	0
PFLU_3325	OV986001.1	3681797	3682745	+	949	50
PFLU_3326	OV986001.1	3682804	3684376	+	1573	12
PFLU_3327	OV986001.1	3684379	3685618	+	1240	22
PFLU_3328	OV986001.1	3685790	3686930	-	1141	216
PFLU_3329	OV986001.1	3687112	3687739	-	628	178
PFLU_3330	OV986001.1	3688449	3689355	+	907	60
PFLU_3331	OV986001.1	3689430	3690258	+	829	175
PFLU_3332	OV986001.1	3690287	3691049	+	763	336
PFLU_3333	OV986001.1	3691090	3691336	+	247	80
PFLU_3334	OV986001.1	3691495	3692086	-	592	207
PFLU_3335	OV986001.1	3692252	3693353	+	1102	85
PFLU_3336	OV986001.1	3693405	3694194	+	790	68
PFLU_3338	OV986001.1	3694502	3695501	+	1000	30
PFLU_3339	OV986001.1	3695550	3696375	+	826	30
PFLU_3341	OV986001.1	3696916	3697621	-	706	329
PFLU_3342	OV986001.1	3697634	3698327	-	694	214
PFLU_3342A	OV986001.1	3698625	3699423	-	799	409
PFLU_3343	OV986001.1	3699729	3700470	+	742	1334
PFLU_3344	OV986001.1	3700515	3701067	+	553	435
PFLU_3345	OV986001.1	3701092	3701497	-	406	22
PFLU_3345A	OV986001.1	3701869	3702481	-	613	36
PFLU_3346	OV986001.1	3702526	3702853	-	328	0
PFLU_3347	OV986001.1	3702878	3703850	+	973	6
PFLU_3348	OV986001.1	3703995	3704670	-	676	104
PFLU_3349	OV986001.1	3704666	3705125	-	460	92
PFLU_3350	OV986001.1	3705357	3705951	-	595	57
PFLU_3351	OV986001.1	3706275	3707979	-	1705	185
PFLU_3352	OV986001.1	3708168	3708336	-	169	8
PFLU_3353	OV986001.1	3708880	3711166	-	2287	161
PFLU_3354	OV986001.1	3711403	3711784	+	382	6
PFLU_3355	OV986001.1	3711799	3711988	-	190	117
PFLU_3356	OV986001.1	3712110	3713037	-	928	166
PFLU_3357	OV986001.1	3713155	3714151	+	997	10
PFLU_3358	OV986001.1	3714452	3716447	+	1996	14
PFLU_3359	OV986001.1	3716537	3716996	+	460	187
PFLU_3360	OV986001.1	3717106	3717553	+	448	89
PFLU_3361	OV986001.1	3717549	3717993	+	445	33
PFLU_3362	OV986001.1	3718037	3719039	+	1003	195
PFLU_3363	OV986001.1	3719065	3720019	+	955	298
PFLU_3364	OV986001.1	3720606	3722076	+	1471	1873
PFLU_3365	OV986001.1	3722096	3723842	+	1747	1094
PFLU_3366	OV986001.1	3723838	3725923	+	2086	1530
PFLU_3367	OV986001.1	3725919	3728670	+	2752	1945
PFLU_3369	OV986001.1	3729085	3731245	+	2161	1036
PFLU_3370	OV986001.1	3731228	3732245	+	1018	181
PFLU_3371	OV986001.1	3732241	3733000	+	760	94
PFLU_3372	OV986001.1	3732996	3733596	+	601	34
PFLU_3373	OV986001.1	3733592	3734252	+	661	72
PFLU_3374	OV986001.1	3734420	3735191	+	772	29
PFLU_3375	OV986001.1	3735294	3736725	-	1432	34
PFLU_3376	OV986001.1	3736780	3737815	-	1036	8
PFLU_3377	OV986001.1	3737936	3738428	+	493	271
PFLU_3378	OV986001.1	3738600	3740763	+	2164	105
PFLU_3379	OV986001.1	3740942	3742439	+	1498	2
PFLU_3380	OV986001.1	3742452	3743322	-	871	38
PFLU_3381	OV986001.1	3743582	3744458	+	877	47
PFLU_3382	OV986001.1	3744727	3745663	+	937	9
PFLU_3383	OV986001.1	3745812	3747150	+	1339	21
PFLU_3384	OV986001.1	3747280	3747733	+	454	39
PFLU_3385	OV986001.1	3747901	3748258	+	358	231
PFLU_3386	OV986001.1	3748604	3749096	+	493	340
PFLU_3387	OV986001.1	3749156	3749399	-	244	2
PFLU_3388	OV986001.1	3749655	3751365	+	1711	23
PFLU_3389	OV986001.1	3751684	3752128	+	445	51
PFLU_3390	OV986001.1	3752225	3752705	+	481	37
PFLU_3391	OV986001.1	3752701	3754333	+	1633	239
PFLU_3392	OV986001.1	3754352	3755417	+	1066	131
PFLU_3393	OV986001.1	3755413	3755839	+	427	49
PFLU_3394	OV986001.1	3756067	3756799	+	733	218
PFLU_3395	OV986001.1	3756911	3757322	-	412	41
PFLU_3396	OV986001.1	3757685	3757961	-	277	11
PFLU_3397	OV986001.1	3758036	3758504	-	469	27
PFLU_3398	OV986001.1	3758711	3759140	+	430	43
PFLU_3399	OV986001.1	3760027	3760987	+	961	607
PFLU_3400	OV986001.1	3761302	3761485	-	184	22
PFLU_3401	OV986001.1	3761868	3762351	+	484	115
PFLU_3402	OV986001.1	3762347	3763244	-	898	74
PFLU_3403	OV986001.1	3763452	3764844	+	1393	754
PFLU_3405	OV986001.1	3765136	3766000	+	865	95
PFLU_3406	OV986001.1	3766117	3767494	+	1378	695
PFLU_3407	OV986001.1	3767490	3768657	+	1168	502
PFLU_3408	OV986001.1	3768897	3771096	-	2200	1297
PFLU_3409	OV986001.1	3771259	3772825	+	1567	37
PFLU_3410	OV986001.1	3772903	3774307	-	1405	118
PFLU_3411	OV986001.1	3774437	3774914	+	478	52
PFLU_3412	OV986001.1	3775100	3776378	+	1279	193
PFLU_3413	OV986001.1	3776419	3777253	+	835	117
PFLU_3414	OV986001.1	3777301	3778027	+	727	144
PFLU_3415	OV986001.1	3778083	3778644	+	562	84
PFLU_3416	OV986001.1	3778653	3778902	-	250	3
PFLU_3417	OV986001.1	3779142	3779835	-	694	77
PFLU_3418	OV986001.1	3779976	3780540	+	565	151
PFLU_3419	OV986001.1	3780730	3781786	+	1057	12
PFLU_3420	OV986001.1	3781796	3782573	+	778	0
PFLU_3421	OV986001.1	3782575	3783457	+	883	4
PFLU_3422	OV986001.1	3783479	3784547	+	1069	9
PFLU_3423	OV986001.1	3784575	3785907	+	1333	35
PFLU_3424	OV986001.1	3786437	3786800	-	364	2
PFLU_3425	OV986001.1	3786799	3789349	-	2551	10
PFLU_3426	OV986001.1	3789908	3793910	+	4003	8
PFLU_3427	OV986001.1	3794060	3795998	+	1939	21
PFLU_3428	OV986001.1	3797214	3797967	-	754	125
PFLU_3429	OV986001.1	3797987	3798467	-	481	63
PFLU_3430	OV986001.1	3798560	3799592	-	1033	167
PFLU_3431	OV986001.1	3799766	3800180	+	415	235
PFLU_3432	OV986001.1	3800176	3801469	+	1294	1141
PFLU_3433	OV986001.1	3801566	3802508	-	943	133
PFLU_3434	OV986001.1	3802600	3803575	+	976	32
PFLU_3435	OV986001.1	3803685	3804606	+	922	7736
PFLU_3436	OV986001.1	3804643	3806047	-	1405	49
PFLU_3437	OV986001.1	3806190	3806721	-	532	36
PFLU_3438	OV986001.1	3806875	3808378	+	1504	720
PFLU_3439	OV986001.1	3808431	3808938	+	508	288
PFLU_3440	OV986001.1	3808912	3809860	-	949	121
PFLU_3441	OV986001.1	3810001	3811024	+	1024	14
PFLU_3442	OV986001.1	3811020	3812223	+	1204	12
PFLU_3443	OV986001.1	3812174	3812564	-	391	16
PFLU_3444	OV986001.1	3812598	3815172	+	2575	37
PFLU_3445	OV986001.1	3815172	3815946	-	775	179
PFLU_3446	OV986001.1	3816092	3817304	+	1213	236
PFLU_3447	OV986001.1	3817434	3818559	+	1126	36
PFLU_3448	OV986001.1	3818688	3819855	+	1168	298
PFLU_3450	OV986001.1	3820768	3821191	-	424	0
PFLU_3451	OV986001.1	3821183	3821519	-	337	4
PFLU_3452	OV986001.1	3821572	3822361	+	790	50
PFLU_3453	OV986001.1	3822415	3824125	+	1711	1678
PFLU_3455	OV986001.1	3824328	3825066	-	739	230
PFLU_3456	OV986001.1	3825073	3825544	-	472	40
PFLU_3457	OV986001.1	3825540	3825759	-	220	76
PFLU_3458	OV986001.1	3825856	3826954	-	1099	44
PFLU_3459	OV986001.1	3827172	3827601	+	430	11
PFLU_3460	OV986001.1	3827624	3828950	-	1327	72
PFLU_3461	OV986001.1	3829042	3829933	+	892	9
PFLU_3462	OV986001.1	3829929	3830496	-	568	120
PFLU_3463	OV986001.1	3830618	3831113	+	496	78
PFLU_3464	OV986001.1	3831157	3832045	+	889	781
PFLU_3465	OV986001.1	3832108	3833266	-	1159	83
PFLU_3466	OV986001.1	3833368	3834247	-	880	184
PFLU_3467	OV986001.1	3834378	3835521	+	1144	890
PFLU_3468	OV986001.1	3835654	3836935	-	1282	10
PFLU_3469	OV986001.1	3836934	3837567	-	634	0
PFLU_3470	OV986001.1	3837699	3838683	-	985	83
PFLU_3472	OV986001.1	3838904	3839717	-	814	80
PFLU_3473	OV986001.1	3839746	3840940	-	1195	181
PFLU_3474	OV986001.1	3840949	3842299	-	1351	213
PFLU_3475	OV986001.1	3842309	3843473	-	1165	273
PFLU_3476	OV986001.1	3843515	3844334	-	820	365
PFLU_3477	OV986001.1	3844481	3845381	+	901	87
PFLU_3478	OV986001.1	3845367	3848256	-	2890	522
PFLU_3479	OV986001.1	3848236	3850033	-	1798	346
PFLU_3480	OV986001.1	3850019	3850466	-	448	25
PFLU_3481	OV986001.1	3850462	3851584	-	1123	308
PFLU_3482	OV986001.1	3851675	3852200	+	526	112
PFLU_3483	OV986001.1	3852345	3853623	-	1279	148
PFLU_3484	OV986001.1	3853623	3854331	-	709	58
PFLU_3485	OV986001.1	3854488	3855688	+	1201	253
PFLU_3486	OV986001.1	3855643	3856246	-	604	318
PFLU_3487	OV986001.1	3856398	3857262	+	865	3930
PFLU_3488	OV986001.1	3857394	3857877	-	484	68
PFLU_3489	OV986001.1	3858262	3860872	+	2611	23221
PFLU_3490	OV986001.1	3861420	3862698	-	1279	394
PFLU_3491	OV986001.1	3863082	3863607	+	526	152
PFLU_3492	OV986001.1	3863660	3864614	+	955	287
PFLU_3493	OV986001.1	3864743	3865811	+	1069	407
PFLU_3494	OV986001.1	3865833	3866601	+	769	155
PFLU_3495	OV986001.1	3866601	3867045	-	445	4
PFLU_3496	OV986001.1	3867200	3868634	+	1435	142
PFLU_3497	OV986001.1	3868719	3869001	+	283	3
PFLU_3498	OV986001.1	3869097	3869499	+	403	16
PFLU_3499	OV986001.1	3869935	3870565	-	631	105
PFLU_3500	OV986001.1	3870797	3872108	+	1312	258
PFLU_3501	OV986001.1	3872269	3872971	+	703	82
PFLU_3502	OV986001.1	3872988	3873681	+	694	76
PFLU_3503	OV986001.1	3873783	3874830	+	1048	26
PFLU_3504	OV986001.1	3874930	3879790	-	4861	18901
PFLU_3505	OV986001.1	3880283	3880637	+	355	115
PFLU_3506	OV986001.1	3880947	3881907	+	961	394
PFLU_3507	OV986001.1	3881903	3882845	+	943	103
PFLU_3508	OV986001.1	3882841	3883336	+	496	47
PFLU_3509	OV986001.1	3883328	3884417	+	1090	200
PFLU_3510	OV986001.1	3884413	3886153	+	1741	828
PFLU_3511	OV986001.1	3886149	3887790	+	1642	498
PFLU_3512	OV986001.1	3888193	3889435	+	1243	400
PFLU_3513	OV986001.1	3889431	3893070	+	3640	1708
PFLU_3514	OV986001.1	3893066	3893660	+	595	150
PFLU_3515	OV986001.1	3893674	3893800	-	127	18
PFLU_3516	OV986001.1	3893958	3894138	-	181	60
PFLU_3517	OV986001.1	3894294	3895470	-	1177	758
PFLU_3518	OV986001.1	3895456	3895747	-	292	274
PFLU_3519	OV986001.1	3895885	3900784	+	4900	56
PFLU_3521	OV986001.1	3900829	3903205	-	2377	181
PFLU_3522	OV986001.1	3903221	3904217	-	997	294
PFLU_3523	OV986001.1	3904508	3905684	+	1177	382
PFLU_3525	OV986001.1	3906077	3907781	-	1705	68
PFLU_3526	OV986001.1	3907812	3909111	-	1300	40
PFLU_3527	OV986001.1	3909107	3909998	-	892	32
PFLU_3528	OV986001.1	3910001	3911357	-	1357	53
PFLU_3529	OV986001.1	3911454	3913980	-	2527	163
PFLU_3530	OV986001.1	3914174	3915629	-	1456	12
PFLU_3531	OV986001.1	3915762	3916257	-	496	16
PFLU_3532	OV986001.1	3916668	3918123	-	1456	118
PFLU_3533	OV986001.1	3918258	3918753	-	496	86
PFLU_3534	OV986001.1	3918885	3919380	-	496	16
PFLU_3535	OV986001.1	3919513	3920794	-	1282	440
PFLU_3536	OV986001.1	3921088	3922150	-	1063	234
PFLU_3537	OV986001.1	3922347	3923892	+	1546	228
PFLU_3538	OV986001.1	3923888	3924779	+	892	60
PFLU_3539	OV986001.1	3924794	3925628	+	835	83
PFLU_3540	OV986001.1	3925624	3927754	-	2131	554
PFLU_3541	OV986001.1	3927953	3928283	+	331	47
PFLU_3542	OV986001.1	3928287	3929133	-	847	33
PFLU_3543	OV986001.1	3929129	3929843	-	715	7
PFLU_3544	OV986001.1	3929839	3932128	-	2290	26
PFLU_3545	OV986001.1	3932143	3932890	-	748	15
PFLU_3546	OV986001.1	3932874	3933360	-	487	19
PFLU_3547	OV986001.1	3933374	3934850	-	1477	77
PFLU_3548	OV986001.1	3934877	3935375	-	499	37
PFLU_3549	OV986001.1	3935406	3936960	-	1555	40
PFLU_3550	OV986001.1	3937457	3937973	+	517	2
PFLU_3551	OV986001.1	3938025	3938847	-	823	163
PFLU_3552	OV986001.1	3938953	3939448	+	496	58
PFLU_3553	OV986001.1	3939531	3940731	-	1201	146
PFLU_3554	OV986001.1	3940859	3941675	+	817	295
PFLU_3555	OV986001.1	3941664	3942807	+	1144	100
PFLU_3556	OV986001.1	3942794	3943598	-	805	191
PFLU_3557	OV986001.1	3943672	3944182	+	511	45
PFLU_3558	OV986001.1	3944162	3945761	-	1600	508
PFLU_3559	OV986001.1	3945787	3946501	+	715	63
PFLU_3560	OV986001.1	3946533	3947280	+	748	274
PFLU_3561	OV986001.1	3947938	3948280	-	343	188
PFLU_3562	OV986001.1	3948326	3948971	-	646	230
PFLU_3563	OV986001.1	3949103	3949376	+	274	105
PFLU_3564	OV986001.1	3949350	3949983	-	634	142
PFLU_3565	OV986001.1	3950079	3950376	-	298	29
PFLU_3566	OV986001.1	3950499	3952989	-	2491	44
PFLU_3567	OV986001.1	3953022	3953976	-	955	22
PFLU_3568	OV986001.1	3953972	3954479	-	508	20
PFLU_3569	OV986001.1	3954587	3955754	+	1168	78
PFLU_3570	OV986001.1	3955961	3958250	-	2290	44
PFLU_3571	OV986001.1	3958441	3960085	+	1645	601
PFLU_3572	OV986001.1	3960202	3961537	-	1336	73
PFLU_3573	OV986001.1	3961529	3962363	-	835	26
PFLU_3574	OV986001.1	3962372	3963404	-	1033	16
PFLU_3575	OV986001.1	3963400	3964195	-	796	3
PFLU_3576	OV986001.1	3964191	3965010	-	820	6
PFLU_3577	OV986001.1	3965010	3966030	-	1021	285
PFLU_3578	OV986001.1	3965998	3967018	-	1021	10
PFLU_3579	OV986001.1	3967415	3968513	+	1099	686
PFLU_3580	OV986001.1	3968541	3969786	+	1246	3275
PFLU_3581	OV986001.1	3969920	3970700	-	781	121
PFLU_3582	OV986001.1	3970915	3971698	+	784	20
PFLU_3583	OV986001.1	3971694	3972363	+	670	10
PFLU_3584	OV986001.1	3972359	3973112	+	754	8
PFLU_3585	OV986001.1	3973108	3974377	+	1270	62
PFLU_3586	OV986001.1	3974752	3975082	+	331	69
PFLU_3587	OV986001.1	3975120	3976029	-	910	174
PFLU_3588	OV986001.1	3976084	3976429	-	346	9
PFLU_3589	OV986001.1	3976629	3976857	+	229	80
PFLU_3590	OV986001.1	3976890	3977301	-	412	14
PFLU_3591	OV986001.1	3977410	3978277	+	868	48
PFLU_3592	OV986001.1	3978267	3978897	-	631	46
PFLU_3593	OV986001.1	3978939	3979920	-	982	28
PFLU_3594	OV986001.1	3980047	3980410	+	364	280
PFLU_3595	OV986001.1	3980431	3983083	-	2653	721
PFLU_3596	OV986001.1	3983140	3984550	-	1411	350
PFLU_3597	OV986001.1	3984839	3986216	+	1378	160
PFLU_3598	OV986001.1	3986372	3986597	-	226	209
PFLU_3599	OV986001.1	3986771	3988835	+	2065	406
PFLU_3600	OV986001.1	3988979	3991499	-	2521	661
PFLU_3601	OV986001.1	3991495	3993208	-	1714	601
PFLU_3602	OV986001.1	3993334	3996427	-	3094	167
PFLU_3603	OV986001.1	3996402	3997815	-	1414	161
PFLU_3604	OV986001.1	3997822	3998437	-	616	34
PFLU_3605	OV986001.1	3998436	3999045	-	610	112
PFLU_3606	OV986001.1	3999255	4004049	+	4795	18
PFLU_3607	OV986001.1	4004045	4004477	+	433	20
PFLU_3608	OV986001.1	4004566	4005172	-	607	236
PFLU_3609	OV986001.1	4005186	4006032	-	847	903
PFLU_3610	OV986001.1	4006194	4007121	+	928	106
PFLU_3611	OV986001.1	4007313	4008474	-	1162	673
PFLU_3612	OV986001.1	4008595	4009381	+	787	371
PFLU_3613	OV986001.1	4009421	4009856	-	436	34
PFLU_3614	OV986001.1	4009858	4010071	-	214	30
PFLU_3615	OV986001.1	4010274	4010838	+	565	216
PFLU_3616	OV986001.1	4011010	4011217	-	208	59
PFLU_3617	OV986001.1	4011473	4011950	+	478	133
PFLU_3618	OV986001.1	4012015	4012294	+	280	57
PFLU_3619	OV986001.1	4012390	4013653	-	1264	2600
PFLU_3620	OV986001.1	4013730	4013904	-	175	4
PFLU_3621	OV986001.1	4013989	4014535	-	547	4
